species,phenotype_id,name,doi,study,scoring,source,type,growth_conditions,integration_date,number_replicates,to_term,to_name,to_definition,to_comment,to_source_acronym,to_source_name,to_source_url,eo_term,eo_name,eo_definition,eo_comment,eo_source_acronym,eo_source_name,eo_source_url,uo_term,uo_name,uo_definition,uo_comment,uo_source_acronym,uo_source_name,uo_source_url,num_values
Arabidopsis thaliana (NCBI: 3702),578,clim-gs11,10.21958/phenotype:578,Lifetime fitness in Germany and Spain under rainfall manipulation,Growing season includes November (yes/no),,0,,2019-03-12T19:08:54.446000Z,0,TO:0000183,other miscellaneous trait,"""The trait instances, which either cannot be assigned any of the eight top level parent terms such as biochemical, anatomy, development quality, stature/vigor, sterility/fertility, stress and the yield or are yet to be assigned a parent."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007064,ecological environment,"""A plant treatment (EO:0001001) involving exposure to the various factors that comprise a geographical/regional location."" [GR:pj, PO:cooperl]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),529,rSurvival fruit mlp,10.21958/phenotype:529,Lifetime fitness in Germany and Spain under rainfall manipulation,relative survival to reproduction (proportion of plants or 1/0 alive/dead) in Madrid low precipitation treatment and population (high density) replicate,,0,,2019-03-12T19:08:54.423000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),530,rSurvival fruit thi,10.21958/phenotype:530,Lifetime fitness in Germany and Spain under rainfall manipulation,relative survival to reproduction (proportion of plants or 1/0 alive/dead) in Tuebingen high precipitation treatment and individual (low density) replicate,,0,,2019-03-12T19:08:54.424000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),531,rSurvival fruit thp,10.21958/phenotype:531,Lifetime fitness in Germany and Spain under rainfall manipulation,relative survival to reproduction (proportion of plants or 1/0 alive/dead) in Tuebingen high precipitation treatment and population (high density) replicate,,0,,2019-03-12T19:08:54.424000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),579,clim-gs12,10.21958/phenotype:579,Lifetime fitness in Germany and Spain under rainfall manipulation,Growing season includes December (yes/no),,0,,2019-03-12T19:08:54.447000Z,0,TO:0000183,other miscellaneous trait,"""The trait instances, which either cannot be assigned any of the eight top level parent terms such as biochemical, anatomy, development quality, stature/vigor, sterility/fertility, stress and the yield or are yet to be assigned a parent."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007064,ecological environment,"""A plant treatment (EO:0001001) involving exposure to the various factors that comprise a geographical/regional location."" [GR:pj, PO:cooperl]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),518,rFitness mhi,10.21958/phenotype:518,Lifetime fitness in Germany and Spain under rainfall manipulation,relative lifetime fitness (# offspring including 0 when plant died) in Madrid high precipitation treatment and individual (low density) replicate,,0,,2019-03-12T19:08:54.417000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),519,rFitness mhp,10.21958/phenotype:519,Lifetime fitness in Germany and Spain under rainfall manipulation,relative lifetime fitness (# offspring including 0 when plant died) in Madrid high precipitation treatment and population (high density) replicate,,0,,2019-03-12T19:08:54.418000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),520,rFitness mli,10.21958/phenotype:520,Lifetime fitness in Germany and Spain under rainfall manipulation,relative lifetime fitness (# offspring including 0 when plant died) in Madrid low precipitation treatment and individual (low density) replicate,,0,,2019-03-12T19:08:54.419000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),521,rFitness mlp,10.21958/phenotype:521,Lifetime fitness in Germany and Spain under rainfall manipulation,relative lifetime fitness (# offspring including 0 when plant died) in Madrid low precipitation treatment and population (high density) replicate,,0,,2019-03-12T19:08:54.419000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),522,rFitness thi,10.21958/phenotype:522,Lifetime fitness in Germany and Spain under rainfall manipulation,relative lifetime fitness (# offspring including 0 when plant died) in Tuebingen high precipitation treatment and individual (low density) replicate,,0,,2019-03-12T19:08:54.420000Z,0,TO:0000371,yield trait,"""A plant trait (TO:0000387) which is a harvestable product that is a plant anatomical entity (PO:0025131) or one or more constituent cellular components (GO:0005575) contained therein."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007256,field study,"""The treatment where the plants were grown under field conditions. This may involve supplemental treatments in addition to any naturally occurring conditions."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000190,ratio,"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
