id,name,description,phenotype_count
27,Control (C) treatment,"Ristova et al., (2018): Natural Genetic Variation Shapes Root System Responses to Phytohormones in Arabidopsis. Plant Journal. DOI: 10.1111/tpj.14034.",9
31,Adaptive diversification of growth allometry in the plant Arabidopsis thaliana,"The file contains average trait values per accession for plant life cycle duration ('LifeCyleDuration', days), total fruit number ('FruitNumber'), final rosette dry mass ('rosetteDM', mg), absolute growth rate ('GrowthRate', mg d-1), relative growth rate ('RGR', mg d-1 g-1), and the scaling exponent ('ScalingExponent').
Accessions are identified with their 1001-genomes IDs (http://1001genomes.org/).",5
34,Lifetime fitness in Germany and Spain under rainfall manipulation,"Data from Exposito-Alonso et al. (2019). A map of climate change-driven natural selection in Arabidopsis thaliana. Nature.

The data is comprised of three fitness traits in eight experimental environments and 98 climate variables of origin.

Fitness traits include Survival from germination to reproductive adult, the number of Seeds produced per individual adult, and the product of both (Fitness). The traits have already been scaled by the mean of the experimental population, so they are relative fitness traits. The codes of each experiment follow a three letter format. The first position is either ""m"" from Madrid (Spain), ""t"" from Tuebingen (Germany). The second position is either ""h"" from high rainfall or ""l"" from low rainfall. The third position is either ""p"" from population replicate pot (where plants are at high density), or ""i"" from an individual replicate pot (where there was one plant per pot). In combination, for example, the code ""mlp"" refers to the fitness in the experiment of Madrid, at low precipitation, and high plant population density in the plot.

Climate variables were used to understand the relationship between genome variation and environment of origin. They were derived intersecting the geographic coordinates where natural lines were originally collected and climate maps from worldclim.org (and derived metrics).",122
12,1001genomes flowering time phenotypes,Study of flowering time at 16°C (FT16) and flowering time at 10°C (FT10) that where phenotype for the 1001genomes project.,2
18,Satbhai et. al. Nature Communications 2017,"Low availability of Fe significantly limits crop yields in many parts of the world. However, it is largely unknown which genes and alleles adjust plant growth in Fe limited environments. Using natural variation of a geographically restricted panel of Arabidopsis thaliana accessions, we identify allelic variation at the FRO2 locus associated with root length under iron deficiency. We show that non-coding sequence variation at the FRO2 locus leads to variation of FRO2 transcript levels, as well as ferric chelate reductase activity, and is causal for a portion of the observed root length variation. These FRO2 allele dependent differences are coupled with altered seedling phenotypes grown on iron-limited soil. Overall, we show that these natural genetic variants of FRO2 tune its expression. These variants might be useful for improvement of agronomically relevant species under specific environmental conditions, such as in podzols or calcareous soils (Reference: doi:10.1038/ncomms15603).",5
2,Flowering time in simulated seasons,"Two independent experiments were conducted in this study. Experiment 1 was done with a mapping population of 360 accessions (33), and Experiment 2 used a set of 473 accessions. Each accession in each experiment had four replicates under each of the four growth conditions (two planting seasons by two locations). 
Both experiments were conducted in two walk-in growth chambers (AR-916, Percival Scientific) that were programmed to cycle the local climates every 5 min from the simulated weather files. The simulated climates were generated by using SolarCalc (35) with sunrise and sunset, light spectrum, temperature, and relative humidity programmed to cycle throughout the day and the season according to 1975?2000 averages (Fig. S5). One chamber was simulating Spain (latitude 41.72091, longitude 2.957075) starting from March 1, and the other chamber was simulating Sweden (latitude 55.71226, longitude 13.207352) starting from May 1st on the first day when plants were put into the chambers.",34
46,Gravitropic setpoint angle (GSA),Cytokinin functions as an asymmetric and anti-gravitropic signal in lateral roots. Data from the Nature Communications paper by Waidmann et. al. 2019. https://doi.org/10.1038/s41467-019-11483-4,1
40,Root growth rates under nutrient deficiency,"Data from  the paper by Bouain et all. , bioRxiv 2018 
""Systems approaches provide new insights into Arabidopsis thaliana root growth under mineral nutrient limitation""
Root growth of different Arabidopsis accessions has been measured on MS plates lacking different nutrients in the early phase of seedling growth.
doi: https://doi.org/10.1101/460360",31
19,Kerdaffrec et al. 2016,Germination rate of seeds after-ripened for 21 days (GR21) measured for 161 Swedish lines. A more detailed description can be found in Kerdaffrec et al. 2016.,1
37,Inter-specific pollination of Arabidopsis thaliana and Malcolmia littorea,Degree of Malcolmia littorea (Brassicaceae) pollen tube entrance into pistils of Arabidopsis thaliana strains. Pollen tubes were stained with aniline blue. Values indicate arbitrary compatibility scores based on the numbers of pollen tubes in the styles: 1: No tubes observed; 2: 1–19 tubes; 3: 20–39 tubes; 4: 40–59 tubes; 5: ≥60 tubes.,1
