species,phenotype_id,name,doi,study,scoring,source,type,growth_conditions,integration_date,number_replicates,to_term,to_name,to_definition,to_comment,to_source_acronym,to_source_name,to_source_url,eo_term,eo_name,eo_definition,eo_comment,eo_source_acronym,eo_source_name,eo_source_url,uo_term,uo_name,uo_definition,uo_comment,uo_source_acronym,uo_source_name,uo_source_url,num_values
Arabidopsis thaliana (NCBI: 3702),1,FT Diameter Field,10.21958/phenotype:1,"Atwell et. al, Nature 2010",Longest diameter of the plant measured on the day the first flower was observed,,,,2016-06-27T14:14:00.607000Z,0,TO:0000241,leaf number,"""A shoot system morphology trait (TO:0000077) which is the number of leaves (PO:0025034) in a shoot system (PO:0009006) of a plant."" [GR:pj, TO:cooperl]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000001,length unit,"""A unit which is a standard measure of the distance between two points."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),2,At2 CFU2,10.21958/phenotype:2,"Atwell et. al, Nature 2010",,,,,2016-06-27T14:14:00.614000Z,0,TO:0000315,bacterial disease resistance,"""The resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a bacterial pathogen infection as compared to the susceptible and/or the reference plants of the same species."" [GR:pj]",It represents the damage done by the diease and/or the pathogen to the plant. The damage is a direct measure of resistance to the particular bacterial strain causing the disease.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000210,colony forming unit,"""A dimensionless count unit which a measure of viable bacterial numbers."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),3,Leaf serr 16,10.21958/phenotype:3,"Atwell et. al, Nature 2010",Average severity of serration across 4 plants was scored between 0 (entire lamina) and 1.5 (jagged serration) after 5 weeks of growth,,,,2016-06-27T14:14:00.623000Z,0,TO:0006063,leaf margin serrated,"""A leaf margin morphology trait (TO:0002635) which is a notched or grooved leaf margin (PO:0020128)."" [GR:curators, PO:0020128, POC:cooperl]",Refer to serrated (PATO:0001206): A shape quality inhering in a bearer by virtue of having sharp straight-edged teeth pointing to the apex.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),4,Seed bank 133-91,10.21958/phenotype:4,"Atwell et. al, Nature 2010",Genotypes consistently decreased their percentage of germination between 91 and 133 days of dry storage. The time point for this sudden reduction in germination rate was scored by the slope between germination percentages at these two time points,,,,2016-06-27T14:14:00.629000Z,0,TO:0000253,seed dormancy,,,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),5,Na23,10.21958/phenotype:5,"Atwell et. al, Nature 2010","Sodium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008",,,,2016-06-27T14:14:00.731000Z,0,TO:0000526,sodium concentration,"""The total sodium ion concentration measured in a given volume of a plant or a plant part or plant extract."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000051,concentration unit,"""A unit which represents a standard measurement of how much of a given substance there is mixed with another substance."" [UOC:GVG]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),6,Leaf serr 10,10.21958/phenotype:6,"Atwell et. al, Nature 2010",Average severity of serration across 4 plants was scored between 0 (entire lamina) and 1.5 (jagged serration) after 8 weeks of growth,,,,2016-06-27T14:14:00.736000Z,0,TO:0006063,leaf margin serrated,"""A leaf margin morphology trait (TO:0002635) which is a notched or grooved leaf margin (PO:0020128)."" [GR:curators, PO:0020128, POC:cooperl]",Refer to serrated (PATO:0001206): A shape quality inhering in a bearer by virtue of having sharp straight-edged teeth pointing to the apex.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),7,Emco5,10.21958/phenotype:7,"Atwell et. al, Nature 2010","All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications",,,,2016-06-27T14:14:00.741000Z,0,TO:0002703,protist disease resistance,"""The resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a protist infection as compared to the susceptible and/or the reference plants of the same species."" [GR:pj]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),8,Leaf roll 16,10.21958/phenotype:8,"Atwell et. al, Nature 2010","Results expressed as binary data, determined by the presence (1) or absence (0) of rolled leaves in all 4 plants / accession at 5 weeks growth",,,,2016-06-27T14:14:00.745000Z,0,TO:0006064,rolled leaf,"""Leaf lamina rolled into a tube like structure."" [GR:Karthik]",,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),9,Leaf roll 10,10.21958/phenotype:9,"Atwell et. al, Nature 2010","Results expressed as binary data, determined by the presence (1) or absence (0) of rolled leaves in all 4 plants / accession at 8 weeks growth",,,,2016-06-27T14:14:00.750000Z,0,TO:0006063,leaf margin serrated,"""A leaf margin morphology trait (TO:0002635) which is a notched or grooved leaf margin (PO:0020128)."" [GR:curators, PO:0020128, POC:cooperl]",Refer to serrated (PATO:0001206): A shape quality inhering in a bearer by virtue of having sharp straight-edged teeth pointing to the apex.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000186,dimensionless unit,"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
Arabidopsis thaliana (NCBI: 3702),10,Bs,10.21958/phenotype:10,"Atwell et. al, Nature 2010","Four days after inoculation, leaves were scored by eye for disease symptom using a scale from 0 (no visible symptom) to 10 (leaves collapse and turn yellow), with an increment of 1.",,,,2016-06-27T14:14:00.755000Z,0,TO:0000315,bacterial disease resistance,"""The resistance exhibited by a plant or a group of plants (population) in response to the disease caused by a bacterial pathogen infection as compared to the susceptible and/or the reference plants of the same species."" [GR:pj]",It represents the damage done by the diease and/or the pathogen to the plant. The damage is a direct measure of resistance to the particular bacterial strain causing the disease.,PTO,Plant Trait Ontology,https://bioportal.bioontology.org/ontologies/PTO,EO:0007269,growth chamber study,"""The treatment involving study type in which plants were grown in growth chambers."" [GR:pj]",,PECO,Plant Environmental Conditions,https://bioportal.bioontology.org/ontologies/PECO,UO:0000189,count unit,"""A dimensionless unit which denotes a simple count of things."" [MGED:MGED]",,UO,Units of Measurement,https://bioportal.bioontology.org/ontologies/UO,
