trait,Ridge,Lasso,ElasticNet,RandomForest,MLP
herbavore_resistance_G2H3B,0.5057 ± 0.4159,0.5011 ± 0.3428,0.4620 ± 0.4260,0.4775 ± 0.5179,0.4057 ± 0.1139
herbavore_resistance_G2H4P,0.4091 ± 0.3406,0.3727 ± 0.2665,0.3693 ± 0.3216,0.3744 ± 0.6173,0.1730 ± 0.1829
herbavore_resistance_G2P,0.3767 ± 0.5233,0.3768 ± 0.5235,0.3817 ± 0.4473,0.4409 ± 0.4833,0.2581 ± 0.1010
herbavore_resistance_G3B,0.3153 ± 0.3871,0.2446 ± 0.3241,0.2736 ± 0.3191,0.3105 ± 0.3948,0.0816 ± 0.1575
herbavore_resistance_G3HP,0.3638 ± 0.7145,0.5089 ± 0.5348,0.4429 ± 0.3670,0.4963 ± 0.5576,0.4151 ± 0.1303
herbavore_resistance_G4MSB,0.4601 ± 0.9372,0.4488 ± 0.8574,0.4391 ± 0.7515,0.4772 ± 0.7168,0.4247 ± 0.2195
herbavore_resistance_G4P,0.2389 ± 0.3499,0.2294 ± 0.6030,0.2354 ± 0.2502,0.1895 ± 0.7453,0.0383 ± 0.1487
herbavore_resistance_G5MSP,0.2575 ± 1.7119,0.2706 ± 1.3605,0.2609 ± 0.7690,0.2892 ± 1.6017,0.1820 ± 0.3601
study_16_Cd111,0.0489 ± 0.2803,0.2562 ± 0.2065,0.2379 ± 0.2013,0.2820 ± 0.3331,0.0208 ± 0.0894
study_16_Mo98,0.1323 ± 0.4469,0.1072 ± 0.3089,0.2389 ± 0.3220,0.3385 ± 0.4027,-0.0646 ± 0.0475
study_1_FLC,0.3386 ± 0.8402,0.1774 ± 0.9729,0.2308 ± 1.0178,0.2406 ± 0.9977,-0.0967 ± 0.0672
study_1_FRI,0.0678 ± 0.9282,0.1580 ± 0.5963,0.1802 ± 0.5506,0.2203 ± 0.9481,0.1795 ± 0.1342
study_4_M130T666,0.1195 ± 0.7997,0.5827 ± 0.7860,0.5609 ± 0.7285,0.6067 ± 0.8482,0.2543 ± 0.1742
study_12_FT10,0.6717 ± 0.1522,0.6550 ± 0.1653,0.6532 ± 0.1452,0.6260 ± 0.1588,0.6198 ± 0.0343
study_1_0W,0.5302 ± 0.4728,0.4340 ± 0.5379,0.4298 ± 0.5858,0.4244 ± 0.5082,0.4503 ± 0.1193
study_1_8W_GH_FT,0.4860 ± 0.6934,0.4093 ± 0.7327,0.3943 ± 0.6773,0.3912 ± 0.6190,0.3190 ± 0.1490
study_1_FT22,0.3933 ± 2.1847,0.2731 ± 2.3997,0.2860 ± 1.9950,0.1908 ± 3.2260,0.3089 ± 0.2721
study_1_FT_Field,0.5274 ± 0.7682,0.4618 ± 1.0162,0.4635 ± 0.6663,0.4111 ± 0.9028,0.0498 ± 0.1486
study_1_SDV,0.4115 ± 0.6192,0.2857 ± 0.8626,0.3145 ± 0.5155,0.2824 ± 0.8412,0.0800 ± 0.1206
study_2_DTFmainEffect2009,0.5908 ± 0.2821,0.6225 ± 0.3356,0.5783 ± 0.2560,0.5082 ± 0.2884,0.5301 ± 0.0529
study_126_Trichome_stem_length,0.2694 ± 0.8235,0.1977 ± 0.6832,0.2010 ± 0.5586,0.2675 ± 0.6721,-0.0011 ± 0.1319
study_1_Width_10,0.0948 ± 0.9097,0.2178 ± 0.6497,0.0979 ± 0.7420,0.1376 ± 0.7990,0.0434 ± 0.1048
study_27_MeanTRL_C,0.2001 ± 0.5836,0.0918 ± 1.0839,0.1425 ± 0.3909,0.1562 ± 0.4158,0.0679 ± 0.1443
study_30_MeanTRL_CK,0.2597 ± 0.4725,0.2436 ± 0.4706,0.1896 ± 0.4206,0.1500 ± 0.3882,0.0196 ± 0.1394
study_38_CL,0.4679 ± 0.2495,0.3708 ± 0.2613,0.4025 ± 0.2501,0.4168 ± 0.1998,0.2484 ± 0.0669
study_38_RL,0.5364 ± 0.3811,0.5017 ± 0.3831,0.5159 ± 0.3124,0.4697 ± 0.3146,0.4193 ± 0.0761
study_44_root_length_day003,0.2093 ± 0.6091,0.0273 ± 0.6870,0.1322 ± 0.5123,0.1612 ± 0.5251,-0.0527 ± 0.2376
study_19_GR21,0.5592 ± 0.4185,0.5307 ± 0.5177,0.5057 ± 0.5633,0.5506 ± 0.4011,0.5446 ± 0.0932
study_1_Storage_28_days,0.3515 ± 0.7661,0.4454 ± 0.8176,0.2952 ± 0.6500,0.3384 ± 0.6013,0.3312 ± 0.1424
study_1_Storage_56_days,0.2910 ± 0.8186,0.2674 ± 0.7700,0.2152 ± 0.6126,0.2309 ± 0.5961,0.1564 ± 0.1326
study_1_8W_GH_LN,0.4699 ± 0.7720,0.3025 ± 0.8184,0.2796 ± 0.8598,0.2386 ± 1.0626,-0.1364 ± 0.1918
study_1_LN10,0.4852 ± 0.7588,0.4823 ± 0.8697,0.3960 ± 0.7119,0.3809 ± 0.6924,0.0918 ± 0.1225
study_1_LN16,0.5272 ± 0.8680,0.4546 ± 1.1337,0.4444 ± 0.7772,0.3880 ± 1.0060,-0.0795 ± 0.1329
study_31_GrowthRate,0.3765 ± 0.6968,0.3289 ± 0.3752,0.3232 ± 0.4873,0.3075 ± 0.6029,0.1690 ± 0.1200
study_2_YieldMainEffect2009,0.2256 ± 0.5153,0.1560 ± 0.4484,0.1932 ± 0.4269,0.1996 ± 0.4141,0.0977 ± 0.0992
study_31_FruitNumber,0.2946 ± 0.4781,0.2675 ± 0.4936,0.2512 ± 0.3112,0.2699 ± 0.4075,0.0516 ± 0.1433
