name,to_name,scoring,to_definition,study_number,manual_ont,best_model,ont_high
herbavore_resistance_G2H3B,,,,,biochemical trait (TO:0000277),Ridge,biochemical trait
herbavore_resistance_G2H4P,,,,,biochemical trait (TO:0000277),Ridge,biochemical trait
herbavore_resistance_G2P,,,,,biochemical trait (TO:0000277),Random Forest,biochemical trait
herbavore_resistance_G3B,,,,,biochemical trait (TO:0000277),Ridge,biochemical trait
herbavore_resistance_G3HP,,,,,biochemical trait (TO:0000277),Lasso,biochemical trait
herbavore_resistance_G4MSB,,,,,biochemical trait (TO:0000277),Random Forest,biochemical trait
herbavore_resistance_G4P,,,,,biochemical trait (TO:0000277),Ridge,biochemical trait
herbavore_resistance_G5MSP,,,,,biochemical trait (TO:0000277),Random Forest,biochemical trait
study_126_Trichome_stem_length,,,,,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_12_FT10,days to flowering trait,"Flowering time was scored as days until first
open flower","""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]",12,flowering time trait (TO:0002616),Ridge,macroscopic trait
study_16_Cd111,cadmium concentration,Cadmium concentrations in leaves,"""A mineral and ion content related trait (TO:0000465) which is the concentration of cadmium (CHEBI:22978) in some plant structure (PO:0009011).\n."" [GR:Karthik]",16,biochemical trait (TO:0000277),Random Forest,biochemical trait
study_16_Mo98,molybdenum concentration,Molybdenum concentrations in leaves,"""A mineral and ion content related trait (TO:0000465) which is the concentration of molybdenum (CHEBI:25370) in some plant structure (PO:0009011)."" [GR:Karthik]",16,biochemical trait (TO:0000277),Random Forest,biochemical trait
study_19_GR21,seed dormancy,"Seeds from three biological replicates per line were pooled together to compensate for growth chamber heterogeneity. About 100 seeds per genotype were spread on wet filter paper in Petri dishes subsequently placed in moisture chambers (following protocol of Alonso-Blanco et al., 2003) that were located in a culture room set at 25°C with a long-day light regime (16 hr light, 8 hr dark). Germination rate (GR21) was determined after 7 days of incubation by scoring radicle emergence.",,19,seed dormancy trait (TO:0000253),Ridge,macroscopic trait
study_1_0W,days to flowering trait,Number of days required for the bolt height to reach 5cm,"""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]",1,flowering time trait (TO:0002616),Ridge,macroscopic trait
