trait,Ridge,Lasso,ElasticNet,RandomForest,MLP
herbavore_resistance_G2H3B,0.5057,0.5011,0.462,0.4775,0.4057
herbavore_resistance_G2H4P,0.4091,0.3727,0.3693,0.3744,0.173
herbavore_resistance_G2P,0.3767,0.3768,0.3817,0.4409,0.2581
herbavore_resistance_G3B,0.3153,0.2446,0.2736,0.3105,0.0816
herbavore_resistance_G3HP,0.3638,0.5089,0.4429,0.4963,0.4151
herbavore_resistance_G4MSB,0.4601,0.4488,0.4391,0.4772,0.4247
herbavore_resistance_G4P,0.2389,0.2294,0.2354,0.1895,0.0383
herbavore_resistance_G5MSP,0.2575,0.2706,0.2609,0.2892,0.182
study_16_Cd111,0.0489,0.2562,0.2379,0.282,0.0208
study_16_Mo98,0.1323,0.1072,0.2389,0.3385,-0.0646
study_1_FLC,0.3386,0.1774,0.2308,0.2406,-0.0967
study_1_FRI,0.0678,0.158,0.1802,0.2203,0.1795
study_4_M130T666,0.1195,0.5827,0.5609,0.6067,0.2543
study_12_FT10,0.6717,0.655,0.6532,0.626,0.6198
study_1_0W,0.5302,0.434,0.4298,0.4244,0.4503
study_1_8W_GH_FT,0.486,0.4093,0.3943,0.3912,0.319
study_1_FT22,0.3933,0.2731,0.286,0.1908,0.3089
study_1_FT_Field,0.5274,0.4618,0.4635,0.4111,0.0498
study_1_SDV,0.4115,0.2857,0.3145,0.2824,0.08
study_2_DTFmainEffect2009,0.5908,0.6225,0.5783,0.5082,0.5301
study_126_Trichome_stem_length,0.2694,0.1977,0.201,0.2675,-0.0011
study_1_Width_10,0.0948,0.2178,0.0979,0.1376,0.0434
study_27_MeanTRL_C,0.2001,0.0918,0.1425,0.1562,0.0679
study_30_MeanTRL_CK,0.2597,0.2436,0.1896,0.15,0.0196
study_38_CL,0.4679,0.3708,0.4025,0.4168,0.2484
study_38_RL,0.5364,0.5017,0.5159,0.4697,0.4193
study_44_root_length_day003,0.2093,0.0273,0.1322,0.1612,-0.0527
study_19_GR21,0.5592,0.5307,0.5057,0.5506,0.5446
study_1_Storage_28_days,0.3515,0.4454,0.2952,0.3384,0.3312
study_1_Storage_56_days,0.291,0.2674,0.2152,0.2309,0.1564
study_1_8W_GH_LN,0.4699,0.3025,0.2796,0.2386,-0.1364
study_1_LN10,0.4852,0.4823,0.396,0.3809,0.0918
study_1_LN16,0.5272,0.4546,0.4444,0.388,-0.0795
study_31_GrowthRate,0.3765,0.3289,0.3232,0.3075,0.169
study_2_YieldMainEffect2009,0.2256,0.156,0.1932,0.1996,0.0977
study_31_FruitNumber,0.2946,0.2675,0.2512,0.2699,0.0516
